variant_id,object_id,stored_run1,stored_run2,stored_delta,usable_frac_run1,usable_frac_run2,usable_frac_delta,success_rate_run1,success_rate_run2,success_rate_delta
622,22,8,12,4,0.0625,0.5714285714285714,0.5089285714285714,0.9770992366412213,1.0,0.022900763358778664
1030,22,7,10,3,0.05737704918032787,0.5263157894736842,0.4689387402933563,0.976,1.0,0.02400000000000002
79,16,6,9,3,0.048,0.42857142857142855,0.38057142857142856,0.8992805755395683,1.0,0.1007194244604317
1315,24,4,7,3,0.030303030303030304,0.35,0.3196969696969697,0.9777777777777777,1.0,0.022222222222222254
307,16,8,10,2,0.06896551724137931,0.47619047619047616,0.4072249589490968,0.943089430894309,1.0,0.05691056910569103
358,19,5,7,2,0.03787878787878788,0.35,0.3121212121212121,0.9850746268656716,0.9523809523809523,-0.03269367448471927
1690,14,10,10,0,0.09523809523809523,0.5555555555555556,0.46031746031746035,0.9051724137931034,0.9,-0.005172413793103403
1219,18,9,9,0,0.09,0.5294117647058824,0.4394117647058824,0.8695652173913043,1.0,0.13043478260869568
1768,2,6,6,0,0.05405405405405406,0.375,0.32094594594594594,0.8809523809523809,0.7619047619047619,-0.11904761904761907
52,28,15,14,-1,0.10344827586206896,0.6363636363636364,0.5329153605015674,0.9797297297297297,1.0,0.020270270270270285
42,20,16,15,-1,0.13008130081300814,0.6521739130434783,0.5220926122304701,0.984,1.0,0.016000000000000014
741,4,8,7,-1,0.07547169811320754,0.3684210526315789,0.2929493545183714,0.9298245614035088,1.0,0.07017543859649122
1505,26,14,12,-2,0.10294117647058823,0.6,0.4970588235294118,0.9577464788732394,1.0,0.04225352112676062
236,0,14,12,-2,0.1346153846153846,0.631578947368421,0.49696356275303644,0.9369369369369369,1.0,0.06306306306306309
841,30,13,11,-2,0.1111111111111111,0.5789473684210527,0.46783625730994155,0.975,0.95,-0.025000000000000022
254,0,12,10,-2,0.09523809523809523,0.5263157894736842,0.43107769423558895,0.9767441860465116,0.95,-0.02674418604651163
730,26,13,11,-2,0.10833333333333334,0.4583333333333333,0.35,0.975609756097561,1.0,0.024390243902439046
188,27,14,11,-3,0.12389380530973451,0.5789473684210527,0.45505356311131817,0.9262295081967213,0.9047619047619048,-0.021467603434816573
257,17,14,11,-3,0.1044776119402985,0.55,0.44552238805970157,0.9710144927536232,0.8695652173913043,-0.10144927536231885
350,2,11,8,-3,0.09090909090909091,0.47058823529411764,0.3796791443850267,0.9097744360902256,0.85,-0.05977443609022559
733,4,11,8,-3,0.09090909090909091,0.4,0.3090909090909091,0.9758064516129032,1.0,0.024193548387096753
8,21,11,8,-3,0.09401709401709402,0.4,0.305982905982906,0.9069767441860465,0.9523809523809523,0.04540420819490587
812,13,9,6,-3,0.06569343065693431,0.3333333333333333,0.26763990267639903,0.9448275862068966,0.8181818181818182,-0.12664576802507832
1293,26,18,14,-4,0.1836734693877551,0.7,0.5163265306122449,0.8990825688073395,1.0,0.1009174311926605
405,12,14,10,-4,0.12962962962962962,0.5882352941176471,0.45860566448801743,0.8709677419354839,0.9444444444444444,0.07347670250896055
