object_id,variants,stored_mean,usable_good_frac_mean,success_rate_mean,variants_lt32,variants_lt20
10,64,8.890625,0.45411013567438147,0.9329858525688757,64,64
28,64,8.828125,0.45491143317230276,0.9672897196261683,64,64
3,64,8.8125,0.4501197126895451,0.9514047076689446,64,64
29,64,8.71875,0.4446215139442231,0.9486016628873771,64,64
18,64,8.6875,0.4535073409461664,0.964594807238395,64,64
20,64,8.625,0.44301765650080255,0.9658914728682171,64,64
11,64,8.609375,0.4457928802588997,0.9155555555555556,64,64
0,64,8.578125,0.452970297029703,0.9490994518402506,64,64
26,64,8.5625,0.44229217110573044,0.9379258137774413,64,64
6,64,8.546875,0.4310480693459417,0.9548532731376975,64,64
19,64,8.5,0.45675902602854745,0.9370574350904799,64,64
16,64,8.5,0.4397736459175424,0.9641465315666407,64,64
31,64,8.453125,0.4352373290426388,0.9248511904761905,64,64
15,64,8.4375,0.4462809917355372,0.9603174603174603,64,64
5,64,8.4375,0.44554455445544555,0.9330254041570438,64,64
24,64,8.40625,0.4317817014446228,0.9468085106382979,64,64
23,64,8.375,0.4291433146517214,0.9689681923972071,64,64
12,64,8.34375,0.4513947590870668,0.8584905660377359,64,64
27,64,8.296875,0.427536231884058,0.9416224412433661,64,64
7,64,8.28125,0.4427736006683375,0.9537848605577689,64,64
8,64,8.25,0.43031784841075793,0.9608457321848082,64,64
14,64,8.21875,0.4336356141797197,0.9573796369376479,64,64
25,64,8.15625,0.41395717684377475,0.9333826794966691,64,64
9,64,8.09375,0.4323873121869783,0.9330218068535826,64,64
30,64,8.046875,0.4074367088607595,0.9634146341463414,64,64
4,64,7.953125,0.4036478984932593,0.9603960396039604,64,64
17,64,7.953125,0.4206611570247934,0.911144578313253,64,64
22,64,7.90625,0.42201834862385323,0.9389193422083008,64,64
21,64,7.890625,0.4272419627749577,0.9321766561514195,64,64
13,64,7.71875,0.41687763713080167,0.8624454148471615,64,64
1,64,7.6875,0.3923444976076555,0.960919540229885,64,64
2,64,6.453125,0.3761384335154827,0.851823118696664,64,64
