variant_id,object_id,base_x,base_y,base_yaw,object_x,object_y,object_z,obj_rel_base_x,obj_rel_base_y,correct_region,z_shift,table_x,table_y,object_mass
702,28,-0.22161753475666046,-0.19084420800209045,0.07656653970479965,0.37735891342163086,-0.029639525339007378,0.5872028470039368,0.6095524038778646,0.1149156304055427,True,0.5290086269378662,0.6237694025039673,0.8234546780586243,0.5155713558197021
702,28,-0.24340905249118805,-0.11768097430467606,0.037210963666439056,0.45755332708358765,-0.02818257175385952,0.5872219204902649,0.7038066930518018,0.06335898084539265,True,0.5290086269378662,0.6237694025039673,0.8234546780586243,0.5155713558197021
702,28,-0.28428947925567627,-0.12858173251152039,-0.05267884209752083,0.43067291378974915,-0.09566431492567062,0.5871955156326294,0.7122373409843834,0.07051772796437569,True,0.5290086269378662,0.6237694025039673,0.8234546780586243,0.5155713558197021
702,28,-0.2067575305700302,-0.06991282850503922,0.017319662496447563,0.3420545756816864,0.11396824568510056,0.5872400999069214,0.5519143934555177,0.1743487301657028,True,0.5290086269378662,0.6237694025039673,0.8234546780586243,0.5155713558197021
1982,19,-0.25902214646339417,0.09552140533924103,-0.0074711935594677925,0.4051382839679718,0.1369205266237259,0.7197930216789246,0.6638325962498007,0.04635999083427338,True,0.6613078117370605,0.6601364612579346,0.6640967130661011,0.36430370807647705
1982,19,-0.359064519405365,-0.12473858892917633,-0.016362803056836128,0.3673188388347626,0.19416938722133636,0.7197887897491455,0.7210681234345231,0.33075042214218975,True,0.6613078117370605,0.6601364612579346,0.6640967130661011,0.36430370807647705
1765,16,-0.23482635617256165,-0.010191709734499454,0.01251988485455513,0.5319096446037292,0.10594815760850906,0.4900478422641754,0.7681299293589535,0.10653156948004164,True,0.4405950605869293,0.5294423699378967,0.7047261595726013,0.22755569219589233
1765,16,-0.2580355703830719,0.03641470521688461,0.07447460293769836,0.4482482075691223,-0.013286243192851543,0.49004071950912476,0.7006279557731208,-0.1021147729783975,True,0.4405950605869293,0.5294423699378967,0.7047261595726013,0.22755569219589233
1765,16,-0.3005974292755127,0.11051908135414124,0.031009571626782417,0.45389047265052795,0.17089416086673737,0.4900473654270172,0.7559970809672478,0.03695345650831174,True,0.4405950605869293,0.5294423699378967,0.7047261595726013,0.22755569219589233
1765,16,-0.3827113211154938,-0.09227746725082397,0.029523758217692375,0.4876026511192322,-0.16726596653461456,0.490109384059906,0.8677210734936432,-0.10064702631902127,True,0.4405950605869293,0.5294423699378967,0.7047261595726013,0.22755569219589233
902,22,-0.22362034022808075,0.19583161175251007,-0.030349619686603546,0.37819069623947144,-0.15437613427639008,0.5885984301567078,0.6121609341458516,-0.33178453806419356,True,0.5435799956321716,0.5364388823509216,0.8503555059432983,0.544643223285675
902,22,-0.31417393684387207,-0.019341163337230682,-0.03938290849328041,0.4551871716976166,0.09995822608470917,0.588592529296875,0.7640673984335322,0.14949873010714815,True,0.5435799956321716,0.5364388823509216,0.8503555059432983,0.544643223285675
902,22,-0.31775137782096863,-0.06439371407032013,-0.0037126524839550257,0.49093344807624817,-0.11697973310947418,0.5886372327804565,0.808874485699028,-0.04958329779200919,True,0.5435799956321716,0.5364388823509216,0.8503555059432983,0.544643223285675
902,22,-0.20812611281871796,-0.2349144071340561,-0.03343707323074341,0.45705947279930115,-0.17241719365119934,0.5886266231536865,0.6627244343983504,0.0846999944421212,True,0.5435799956321716,0.5364388823509216,0.8503555059432983,0.544643223285675
1599,23,-0.30908602476119995,-0.24346552789211273,-0.07032251358032227,0.41756534576416016,0.058706045150756836,0.5409313440322876,0.703623417480814,0.3524825672486606,True,0.4671865999698639,0.690558671951294,1.0339559316635132,0.45717853307724
1599,23,-0.3329068422317505,-0.28269678354263306,-0.01532539539039135,0.30991047620773315,-0.11556848883628845,0.5436574220657349,0.6401806244532384,0.17695971251061926,True,0.4671865999698639,0.690558671951294,1.0339559316635132,0.45717853307724
