variant_id,object_id,z_shift,table_x,table_y,object_mass,attempts,successes,failures,success_rate
1629,12,0.6890473961830139,0.6952309608459473,0.8230245113372803,0.2064771056175232,57,1,56,0.017543859649122806
1855,12,0.6682456731796265,0.5934659838676453,0.6056027412414551,0.7850207090377808,52,1,51,0.019230769230769232
1644,12,0.4976767599582672,0.5344225168228149,0.835237979888916,0.719196081161499,49,1,48,0.02040816326530612
1862,25,0.4171399772167206,0.5129929780960083,0.9017603397369385,0.33344829082489014,48,1,47,0.020833333333333332
634,12,0.5191105604171753,0.5667173862457275,1.1985020637512207,0.42333173751831055,48,1,47,0.020833333333333332
53,12,0.5513845682144165,0.5279841423034668,1.1443356275558472,0.7891708016395569,45,1,44,0.022222222222222223
364,25,0.6821691989898682,0.609427273273468,0.8389101624488831,0.414800763130188,44,1,43,0.022727272727272728
1099,12,0.6030167937278748,0.6810818314552307,1.1184223890304565,0.6769395470619202,43,1,42,0.023255813953488372
355,4,0.7441689372062683,0.6388928294181824,0.9417421817779541,0.3054260015487671,35,1,34,0.02857142857142857
983,25,0.7343138456344604,0.6056362390518188,1.0548003911972046,0.2915588617324829,59,2,57,0.03389830508474576
462,26,0.7459139823913574,0.556654691696167,1.0296660661697388,0.2050400823354721,59,2,57,0.03389830508474576
1986,12,0.7562726736068726,0.646248459815979,0.8858520984649658,0.44066405296325684,55,2,53,0.03636363636363636
879,12,0.434750497341156,0.5098750591278076,1.124910593032837,0.32504379749298096,53,2,51,0.03773584905660377
1280,12,0.6026136875152588,0.6102924942970276,1.1526638269424438,0.5982488393783569,52,2,50,0.038461538461538464
883,12,0.742460310459137,0.6450146436691284,1.0560846328735352,0.25859880447387695,50,2,48,0.04
1879,4,0.46079277992248535,0.5987921953201294,0.700244128704071,0.7155957818031311,49,2,47,0.04081632653061224
266,4,0.7094825506210327,0.5457595586776733,1.1628611087799072,0.20498357713222504,49,2,47,0.04081632653061224
289,12,0.6403710246086121,0.5024222731590271,0.7077825665473938,0.411484956741333,47,2,45,0.0425531914893617
642,12,0.748551070690155,0.6127973794937134,1.1035385131835938,0.5571103692054749,47,2,45,0.0425531914893617
773,4,0.7240785360336304,0.5387517809867859,1.1369764804840088,0.5173773765563965,46,2,44,0.043478260869565216
1545,4,0.7314274907112122,0.6921083927154541,0.6168991923332214,0.5154448747634888,46,2,44,0.043478260869565216
2010,12,0.7822849154472351,0.5567569136619568,0.6434088945388794,0.20565180480480194,46,2,44,0.043478260869565216
1211,12,0.6680212020874023,0.6524696350097656,0.7210361957550049,0.6572251915931702,46,2,44,0.043478260869565216
981,12,0.6969959735870361,0.602562665939331,0.8085211515426636,0.45872288942337036,45,2,43,0.044444444444444446
1314,4,0.5921615958213806,0.5122225880622864,0.8839850425720215,0.5499007105827332,44,2,42,0.045454545454545456
1044,25,0.7412806749343872,0.6757376194000244,0.8718464374542236,0.32127314805984497,43,2,41,0.046511627906976744
734,26,0.7176505327224731,0.6097272634506226,0.7433071732521057,0.6622759699821472,63,3,60,0.047619047619047616
587,4,0.7254030108451843,0.6935757398605347,0.7430015206336975,0.4657290577888489,42,2,40,0.047619047619047616
1988,25,0.7979331016540527,0.5253794193267822,0.6261375546455383,0.5453377366065979,41,2,39,0.04878048780487805
324,25,0.6834648847579956,0.5968168377876282,0.8349617719650269,0.5357316136360168,41,2,39,0.04878048780487805
1400,12,0.5675204396247864,0.554026186466217,0.9695675373077393,0.3506357967853546,40,2,38,0.05
12,4,0.6730456352233887,0.5578455924987793,1.1897971630096436,0.6804952025413513,40,2,38,0.05
1465,12,0.5114875435829163,0.5137619376182556,0.7061445713043213,0.4798974394798279,59,3,56,0.05084745762711865
1985,17,0.4000515043735504,0.529752254486084,0.628440260887146,0.7072356939315796,39,2,37,0.05128205128205128
377,27,0.7796696424484253,0.6991190314292908,0.6059018969535828,0.5134996771812439,39,2,37,0.05128205128205128
516,12,0.44301077723503113,0.5665896534919739,0.9336724281311035,0.751106858253479,58,3,55,0.05172413793103448
1043,17,0.7736316323280334,0.6205811500549316,0.6085785031318665,0.7517575025558472,38,2,36,0.05263157894736842
588,25,0.6913442015647888,0.6829389333724976,0.7217329144477844,0.2275516539812088,57,3,54,0.05263157894736842
1620,12,0.6097937822341919,0.561083197593689,1.0942659378051758,0.7287150025367737,38,2,36,0.05263157894736842
953,25,0.7945272922515869,0.5540786385536194,0.6809813380241394,0.4629698395729065,55,3,52,0.05454545454545454
487,4,0.785051703453064,0.6298152804374695,1.053447961807251,0.36017319560050964,54,3,51,0.05555555555555555
648,6,0.42375800013542175,0.5273309350013733,0.9237935543060303,0.28655433654785156,36,2,34,0.05555555555555555
1025,12,0.6081472039222717,0.5012827515602112,0.7307782769203186,0.47739046812057495,36,2,34,0.05555555555555555
892,27,0.7070146799087524,0.6134530305862427,0.6063146591186523,0.788311243057251,52,3,49,0.057692307692307696
231,17,0.4445478618144989,0.6376843452453613,1.0501377582550049,0.43003082275390625,34,2,32,0.058823529411764705
1421,26,0.48433831334114075,0.5897909998893738,0.7510558366775513,0.7640870213508606,34,2,32,0.058823529411764705
682,4,0.46013343334198,0.619321346282959,0.70393306016922,0.5153782367706299,34,2,32,0.058823529411764705
1179,12,0.4765579104423523,0.5203413963317871,0.8813709616661072,0.6574867963790894,51,3,48,0.058823529411764705
839,12,0.7551045417785645,0.6309277415275574,0.6827422380447388,0.5822628736495972,50,3,47,0.06
116,4,0.7448869943618774,0.630993127822876,0.8207188844680786,0.7754759192466736,50,3,47,0.06
889,12,0.6843777298927307,0.6106626987457275,1.045487642288208,0.6195955872535706,49,3,46,0.061224489795918366
1962,12,0.4358687102794647,0.5353023409843445,0.7489109635353088,0.3836246430873871,49,3,46,0.061224489795918366
246,27,0.41201356053352356,0.5214824080467224,0.6728700995445251,0.2606387436389923,48,3,45,0.0625
1634,13,0.40680691599845886,0.609184205532074,0.6639010310173035,0.24261276423931122,64,4,60,0.0625
1489,6,0.6883010864257812,0.5448713302612305,0.9072261452674866,0.5886424779891968,47,3,44,0.06382978723404255
778,5,0.47206297516822815,0.6514708995819092,0.734597384929657,0.38468319177627563,47,3,44,0.06382978723404255
100,12,0.7831765413284302,0.6451619863510132,0.7816890478134155,0.45971226692199707,47,3,44,0.06382978723404255
519,17,0.6249723434448242,0.5204745531082153,0.76519775390625,0.2198176383972168,31,2,29,0.06451612903225806
1868,4,0.7593741416931152,0.5772906541824341,1.0553667545318604,0.36600977182388306,46,3,43,0.06521739130434782
