variant_id,correct_success_count,total_success_count,wrong_success_count
396,35,66,31
397,21,47,26
398,43,61,18
399,32,73,41
400,37,71,34
401,13,52,39
402,41,70,29
403,36,74,38
404,29,67,38
405,9,42,33
406,11,45,34
407,40,70,30
408,36,71,35
409,29,57,28
410,14,55,41
411,5,50,45
412,27,62,35
413,15,51,36
414,24,54,30
415,33,72,39
416,29,70,41
417,6,37,31
418,33,63,30
419,38,82,44
420,15,59,44
421,19,56,37
422,4,51,47
423,14,49,35
424,25,59,34
425,21,52,31
426,21,56,35
427,31,70,39
428,14,48,34
429,34,69,35
430,29,64,35
431,31,61,30
432,31,63,32
433,23,56,33
434,33,64,31
435,12,57,45
436,16,45,29
437,38,78,40
438,40,74,34
439,24,63,39
440,13,57,44
441,28,55,27
442,37,81,44
443,20,56,36
444,30,61,31
445,26,59,33
446,28,60,32
447,15,54,39
448,12,61,49
449,35,67,32
450,23,57,34
451,30,64,34
452,30,74,44
453,30,57,27
454,44,70,26
455,16,58,42
456,39,75,36
457,17,51,34
458,20,58,38
459,25,63,38
460,37,68,31
461,15,54,39
462,14,50,36
463,27,64,37
464,28,65,37
465,28,58,30
466,30,62,32
467,38,75,37
468,29,60,31
469,35,66,31
470,32,69,37
471,33,65,32
472,31,64,33
473,31,68,37
474,31,72,41
475,44,73,29
476,22,64,42
477,38,77,39
478,29,66,37
479,28,64,36
480,23,61,38
481,17,56,39
482,5,32,27
483,35,63,28
484,15,54,39
485,36,72,36
486,12,53,41
487,15,43,28
488,16,55,39
489,9,42,33
490,9,48,39
491,44,69,25
492,26,68,42
493,15,54,39
494,25,64,39
495,23,58,35
496,41,69,28
497,39,73,34
498,32,63,31
499,30,71,41
500,7,40,33
501,10,52,42
502,27,69,42
503,32,57,25
504,18,48,30
505,14,51,37
506,22,64,42
507,21,61,40
508,6,49,43
509,13,53,40
510,16,50,34
511,25,66,41
512,18,61,43
513,5,45,40
514,37,66,29
515,19,62,43
516,8,49,41
517,27,66,39
518,28,69,41
519,25,68,43
520,24,47,23
521,46,81,35
522,33,62,29
523,37,81,44
524,22,62,40
525,27,71,44
526,43,67,24
527,7,51,44
528,16,57,41
529,39,72,33
530,35,72,37
531,35,58,23
532,32,71,39
533,36,65,29
534,29,70,41
535,28,60,32
536,45,72,27
537,30,63,33
538,16,58,42
539,36,68,32
540,40,72,32
541,19,55,36
542,18,60,42
543,35,77,42
544,15,44,29
545,20,54,34
546,17,46,29
547,19,60,41
548,33,70,37
549,32,64,32
550,23,54,31
551,40,57,17
552,26,57,31
553,20,51,31
554,28,62,34
555,31,59,28
556,41,71,30
557,31,73,42
558,24,67,43
559,23,60,37
560,26,63,37
561,13,64,51
562,35,66,31
563,48,72,24
564,16,59,43
565,7,42,35
566,19,58,39
567,28,66,38
568,13,56,43
569,16,49,33
570,20,53,33
571,18,52,34
572,12,52,40
573,17,56,39
574,31,66,35
575,25,62,37
576,36,63,27
577,15,52,37
578,34,61,27
579,19,65,46
580,47,68,21
581,52,77,25
582,36,75,39
583,42,70,28
584,35,74,39
585,12,58,46
