variant_id,correct_success_count,total_success_count,wrong_success_count
396,20,50,30
397,4,55,51
398,23,46,23
399,16,43,27
400,24,58,34
401,3,51,48
402,29,59,30
403,25,60,35
404,15,65,50
405,2,45,43
406,4,59,55
407,26,52,26
408,13,53,40
409,10,51,41
410,6,60,54
411,7,61,54
412,24,51,27
413,6,49,43
414,9,32,23
415,19,61,42
416,18,48,30
417,3,47,44
418,19,55,36
419,23,65,42
420,6,53,47
421,7,50,43
422,5,62,57
423,4,50,46
424,19,62,43
425,5,55,50
426,19,56,37
427,20,58,38
428,12,50,38
429,18,63,45
430,14,61,47
431,16,54,38
432,23,52,29
433,13,47,34
434,20,54,34
435,11,54,43
436,12,56,44
437,24,64,40
438,22,63,41
439,14,59,45
440,5,53,48
441,13,43,30
442,32,66,34
443,18,52,34
444,21,67,46
445,11,50,39
446,27,63,36
447,10,52,42
448,6,59,53
449,25,55,30
450,9,38,29
451,17,48,31
452,17,49,32
453,11,52,41
454,17,52,35
455,9,35,26
456,27,71,44
457,19,52,33
458,9,46,37
459,13,55,42
460,26,63,37
461,7,44,37
462,10,52,42
463,18,59,41
464,31,63,32
465,14,49,35
466,9,52,43
467,25,66,41
468,13,55,42
469,9,43,34
470,24,57,33
471,22,52,30
472,17,61,44
473,20,60,40
474,15,68,53
475,19,46,27
476,17,45,28
477,24,50,26
478,21,74,53
479,21,58,37
480,16,59,43
481,7,54,47
482,2,44,42
483,29,68,39
484,7,44,37
485,24,58,34
486,8,46,38
487,4,48,44
488,10,40,30
489,4,52,48
490,6,58,52
491,31,69,38
492,17,45,28
493,6,46,40
494,28,64,36
495,19,57,38
496,18,49,31
497,28,62,34
498,23,62,39
499,18,64,46
500,5,54,49
501,11,60,49
502,12,66,54
503,22,60,38
504,5,48,43
505,5,54,49
506,12,58,46
507,19,57,38
508,5,42,37
509,9,55,46
510,6,61,55
511,18,55,37
512,13,56,43
513,8,63,55
514,23,49,26
515,7,49,42
516,3,48,45
517,19,64,45
518,17,52,35
519,8,50,42
520,8,54,46
521,29,60,31
522,15,54,39
523,26,61,35
524,14,58,44
525,19,50,31
526,15,41,26
527,10,57,47
528,4,45,41
529,25,49,24
530,28,60,32
531,23,53,30
532,22,59,37
533,19,47,28
534,19,71,52
535,17,60,43
536,23,55,32
537,16,55,39
538,10,57,47
539,9,37,28
540,24,56,32
541,8,51,43
542,10,58,48
543,20,59,39
544,8,52,44
545,8,44,36
546,5,49,44
547,5,47,42
548,40,72,32
549,20,51,31
550,17,64,47
551,20,43,23
552,18,46,28
553,13,60,47
554,35,70,35
555,24,55,31
556,25,61,36
557,17,52,35
558,20,71,51
559,8,46,38
560,26,62,36
561,14,69,55
562,24,52,28
563,31,70,39
564,12,42,30
565,11,67,56
566,9,70,61
567,25,63,38
568,3,54,51
569,13,58,45
570,8,52,44
571,5,44,39
572,8,60,52
573,5,44,39
574,10,54,44
575,18,53,35
576,29,62,33
577,16,61,45
578,14,45,31
579,8,49,41
580,33,56,23
581,33,65,32
582,29,57,28
583,25,66,41
584,29,64,35
585,11,65,54
586,6,57,51
587,2,36,34
588,4,47,43
589,5,49,44
590,19,66,47
591,17,58,41
592,18,54,36
593,21,47,26
594,35,61,26
595,16,53,37
596,21,48,27
597,6,47,41
598,12,56,44
599,4,37,33
600,1,66,65
601,28,64,36
602,5,51,46
603,3,62,59
604,35,73,38
605,14,57,43
606,3,53,50
607,8,58,50
608,10,51,41
609,25,49,24
610,12,51,39
611,17,51,34
612,23,62,39
613,9,53,44
614,19,54,35
615,19,56,37
616,25,64,39
617,19,59,40
618,9,60,51
619,21,54,33
620,0,43,43
621,28,64,36
622,24,50,26
623,22,65,43
624,8,48,40
625,18,50,32
626,34,65,31
627,14,52,38
628,6,47,41
629,21,56,35
630,17,48,31
631,14,51,37
632,25,60,35
633,35,62,27
634,1,54,53
635,20,63,43
636,15,53,38
637,26,49,23
638,27,62,35
639,15,50,35
640,22,50,28
641,16,50,34
642,0,51,51
643,13,56,43
644,8,54,46
645,18,65,47
646,21,61,40
647,3,44,41
648,2,52,50
649,29,58,29
650,19,65,46
651,5,43,38
652,15,59,44
653,12,65,53
654,21,43,22
655,10,53,43
656,12,59,47
657,4,40,36
658,21,52,31
659,6,50,44
660,15,44,29
661,20,57,37
662,6,44,38
663,4,54,50
664,14,59,45
665,16,53,37
666,19,52,33
667,13,59,46
668,25,54,29
669,6,53,47
670,16,51,35
671,10,65,55
672,12,48,36
673,24,62,38
674,21,50,29
675,4,50,46
676,26,70,44
677,34,70,36
678,26,71,45
679,28,56,28
680,22,54,32
681,29,61,32
682,5,51,46
683,30,72,42
684,12,56,44
685,8,57,49
686,8,56,48
687,34,60,26
688,21,65,44
689,15,55,40
690,12,61,49
691,5,50,45
692,24,58,34
693,27,63,36
694,18,54,36
695,3,48,45
696,7,51,44
697,9,52,43
698,29,57,28
699,4,54,50
700,16,59,43
701,30,58,28
702,20,64,44
703,21,59,38
704,28,65,37
705,1,51,50
706,22,53,31
707,2,54,52
708,2,51,49
709,14,60,46
710,23,66,43
711,18,52,34
712,23,51,28
713,18,60,42
714,24,64,40
715,8,49,41
716,7,48,41
717,24,57,33
718,10,54,44
719,26,58,32
720,2,57,55
721,5,44,39
722,4,50,46
723,13,65,52
724,32,60,28
725,4,37,33
726,25,65,40
727,16,54,38
728,8,53,45
729,15,66,51
730,2,50,48
731,17,51,34
732,18,44,26
733,5,54,49
734,11,55,44
735,7,54,47
736,15,66,51
737,12,56,44
738,18,55,37
739,35,66,31
740,33,73,40
741,5,54,49
742,3,41,38
743,26,53,27
744,17,48,31
745,18,54,36
746,1,55,54
747,16,60,44
748,21,66,45
749,2,51,49
750,5,34,29
751,15,59,44
752,23,61,38
753,8,56,48
754,15,52,37
755,18,56,38
756,3,38,35
757,4,47,43
758,12,64,52
759,2,48,46
760,7,51,44
761,7,65,58
762,10,45,35
763,6,49,43
764,24,55,31
765,24,59,35
766,4,55,51
767,26,61,35
768,5,52,47
769,3,46,43
770,26,69,43
771,22,50,28
772,10,48,38
773,4,41,37
774,14,64,50
775,6,52,46
776,1,52,51
777,23,61,38
778,9,50,41
779,9,56,47
780,16,71,55
781,19,65,46
782,24,56,32
783,5,36,31
784,21,63,42
785,6,57,51
786,14,61,47
787,6,48,42
