variant_id,mixed_success_correct,correct_success,mixed_failure_correct,correct_failure
316,19,18,19,15
317,24,13,12,9
318,33,21,18,26
319,5,4,35,45
320,11,10,27,30
321,9,8,32,34
322,24,19,18,22
323,13,12,36,37
324,2,2,33,38
325,18,18,23,18
326,25,19,12,11
327,8,7,34,37
328,24,26,8,9
329,17,15,22,26
330,21,22,7,7
331,10,15,20,29
332,21,19,14,10
333,13,19,22,22
334,13,10,18,13
335,11,15,25,36
336,13,15,29,29
337,14,11,25,23
338,10,8,27,30
339,21,15,15,13
340,10,7,42,36
341,20,14,26,20
342,32,16,11,12
343,7,4,39,45
344,9,13,34,34
345,18,15,21,11
346,25,23,8,2
347,25,15,25,25
348,7,8,35,31
349,26,21,9,9
350,2,7,32,25
351,22,16,15,15
352,3,7,34,46
353,34,23,3,4
354,0,5,37,31
355,2,1,35,34
356,17,18,20,28
357,5,4,38,51
358,22,27,7,8
359,6,8,36,30
360,25,22,18,12
361,23,28,10,5
362,5,4,42,30
363,15,21,25,27
364,5,1,34,42
365,7,4,41,41
366,6,9,35,30
367,25,23,13,15
368,16,14,28,26
369,6,6,31,28
370,15,12,12,13
371,23,23,8,4
372,19,19,11,11
373,15,11,29,24
374,3,4,39,47
375,6,7,28,37
376,32,27,7,5
377,1,2,47,36
378,6,6,40,30
379,13,11,34,20
380,21,14,20,23
381,13,14,31,27
382,4,6,36,25
383,13,17,22,16
384,27,27,7,4
385,9,12,34,27
386,33,27,8,9
387,12,7,37,43
388,14,21,17,18
389,24,24,12,11
390,16,10,19,24
391,3,9,31,40
392,9,9,35,41
393,22,19,14,11
394,5,5,30,35
395,10,16,10,7
396,20,14,11,4
397,4,11,25,34
398,23,18,6,6
399,16,14,4,12
400,24,18,14,10
401,3,4,34,40
402,29,21,5,6
403,25,20,10,7
404,15,11,16,24
405,2,6,47,35
406,4,4,44,32
407,26,15,10,12
408,13,18,15,10
409,10,14,16,20
410,6,5,40,37
411,7,13,26,43
412,24,21,9,11
413,6,8,33,33
414,9,4,34,33
415,19,19,21,15
416,18,15,13,10
417,3,5,43,49
418,19,17,14,8
419,23,22,7,10
420,6,8,36,29
421,7,12,29,37
422,5,11,42,41
423,4,8,34,37
424,19,20,13,10
425,5,6,24,34
426,19,20,26,22
427,20,21,21,17
428,12,3,30,33
429,18,17,20,13
430,14,15,16,23
431,16,10,29,14
432,23,19,11,9
433,13,9,22,27
