object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
20,4164,64,0.4048991354466859,0.7297195918655495,0.0518290894100219
1,4088,64,0.3155577299412916,0.7293863616191625,0.04582906761737974
10,4030,64,0.4250620347394541,0.7399336802988543,0.05854666236917631
15,3986,64,0.4292523833416959,0.7316169885423564,0.05336415292105082
3,3955,64,0.34715549936788875,0.7314244581530628,0.04612286210926635
14,3930,64,0.4346055979643766,0.7347157657409955,0.04971059730087625
29,3863,64,0.3134869272586073,0.7292566016794256,0.04679181832643846
30,3858,64,0.25194401244167963,0.7336956717236137,0.04785605868409906
13,3826,64,0.1246732880292734,0.7267686530693905,0.02536778341850908
19,3813,64,0.3805402570154734,0.7313479651558289,0.049381463776179996
22,3727,64,0.4400321974778642,0.738178352184421,0.049356755304332256
21,3673,64,0.25973318812959434,0.7345764861619883,0.04732880660843804
28,3670,64,0.37084468664850134,0.7332641028115644,0.04594978530093872
8,3469,64,0.38483712885557797,0.7298011413717627,0.04515577099825941
11,3427,64,0.20221768310475635,0.7342855315322478,0.03288661534746086
23,3397,64,0.21283485428319104,0.7371027342946982,0.0308377165683803
24,3386,64,0.29267572356763144,0.7325575270387849,0.04115540639579843
26,3355,64,0.12459016393442623,0.7275643542907076,0.02545320132123889
0,3326,64,0.41310883944678295,0.7324868482778069,0.047383070984936985
16,3307,64,0.39703658905352285,0.7336275318179039,0.03893787192897388
25,3288,64,0.0860705596107056,0.7237014983226531,0.019527558356169306
31,3287,64,0.2436872528141162,0.7271211958655909,0.03772595059898067
7,3279,64,0.3583409576090271,0.7302394186163846,0.03916237484573291
9,3253,64,0.2622194897018137,0.7283125547377924,0.035237103995903934
18,3228,64,0.37174721189591076,0.731805903323598,0.0416269668770144
6,3228,64,0.14653035935563816,0.7255932872015868,0.022202767193040096
27,3213,64,0.12916277622159975,0.7268881317315782,0.030598533758778947
5,3199,64,0.13035323538605814,0.7234662614830024,0.024610362637889724
12,3136,64,0.054209183673469385,0.7263572214656692,0.01718004796504205
4,3134,64,0.09317166560306318,0.723851380911285,0.02067649087374583
17,2820,64,0.12943262411347517,0.7299491037033025,0.024131897687297732
2,2816,64,0.203125,0.7229497284275137,0.038896882910607895
