object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
10,1713,64,1.0,0.749628758155103,0.10406458557546237
15,1711,64,1.0,0.7365160577549577,0.09198408339269538
14,1708,64,1.0,0.7411038484625738,0.09101036258456104
20,1686,64,1.0,0.7391296490714837,0.09244459757788329
22,1640,64,1.0,0.7384067473377219,0.092718907053095
19,1451,64,1.0,0.7360226248400303,0.10145703781835308
0,1374,64,1.0,0.7389739102172054,0.0720798493829048
3,1373,64,1.0,0.7451795055128977,0.10098001976325208
28,1361,64,1.0,0.7368920172697965,0.08979412325426729
8,1335,64,1.0,0.7357297839929513,0.0775105577866281
16,1313,64,1.0,0.7393274301488323,0.07267561898665956
1,1290,64,1.0,0.7412625730263832,0.10559086357167859
29,1211,64,1.0,0.7427234355138552,0.10798141538348677
18,1200,64,1.0,0.7388764807674001,0.07552638955918613
7,1175,64,1.0,0.7336370221496538,0.07677217937843048
24,991,64,1.0,0.7468475280784415,0.09856398800809771
30,972,64,1.0,0.7530311685025461,0.11514908161712682
21,954,64,1.0,0.7517592344283615,0.11618039209239395
9,853,64,1.0,0.7229112711842957,0.09226467659182375
31,801,64,1.0,0.7450723900517287,0.11108724995123469
23,723,64,1.0,0.7443526345266073,0.08833961478257882
11,693,64,1.0,0.7577569342932828,0.09185174553012436
2,572,64,1.0,0.7380776053633773,0.09360433882935168
13,477,64,1.0,0.7432985096741127,0.10401103443390897
6,473,64,1.0,0.7237671068351033,0.08908946698718562
26,418,64,1.0,0.7387102166061427,0.10229425448438743
5,417,64,1.0,0.7124462063045577,0.07365518841342711
27,415,64,1.0,0.7400602098110485,0.10052769518460539
17,365,64,1.0,0.7326624194296437,0.07935976331228772
4,292,64,1.0,0.7236722974040121,0.05722326073716454
25,283,64,1.0,0.7270807484879772,0.06978865492080052
12,170,58,1.0,0.72853059286797,0.05616046648662314
