object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
12,2478,64,1.0,0.7410642906090424,0.10915868998132623
25,2325,64,1.0,0.7420692457483306,0.11008043461157298
4,2296,64,1.0,0.7387590269576504,0.11558077132752377
5,2198,64,1.0,0.7400263579520743,0.11756109605647204
13,2179,64,1.0,0.7353686617777435,0.10714879945616387
6,2157,64,1.0,0.7388656422743429,0.10163056320968582
27,2152,64,1.0,0.7437459648486515,0.10908542890462017
2,2037,64,1.0,0.7359432203304355,0.10061199345083294
26,2017,64,1.0,0.7392414220791639,0.10648070317483505
17,1993,64,1.0,0.7407550924018409,0.11160718371514372
11,1777,64,1.0,0.7374022841508374,0.0926697042286952
21,1712,64,1.0,0.7316610595868817,0.1076880062978857
23,1706,64,1.0,0.7404974670519722,0.09534724112000428
9,1596,64,1.0,0.7476457768758973,0.11191863663392636
30,1546,64,1.0,0.7332993971893241,0.09564950985494382
31,1422,64,1.0,0.7359581548580475,0.0933352601378109
1,1321,64,1.0,0.7233039151819088,0.10657685012113609
24,1254,64,1.0,0.7328922937452861,0.11208725272926409
29,1145,64,1.0,0.731018373881906,0.10263084951061623
3,1111,64,1.0,0.724795484590038,0.11943131464768292
7,884,64,1.0,0.7420634905670809,0.14114889530623811
8,870,64,1.0,0.736412575013073,0.15479136915021577
18,797,64,1.0,0.7378961712265725,0.14558770595672632
19,753,64,1.0,0.7345803382606032,0.144260654679074
10,707,64,1.0,0.7296798571610023,0.1393319252237389
28,695,64,1.0,0.7276001916987532,0.15233680170936215
16,636,64,1.0,0.7383851135357954,0.17555853343072794
14,536,64,1.0,0.7385979798360307,0.13237606678283828
15,461,64,1.0,0.7298326569687345,0.16087115586246517
0,459,64,1.0,0.7375188262066319,0.17997403706810358
20,448,63,1.0,0.7288615846540137,0.15591767258021685
22,444,64,1.0,0.7497425453141603,0.17270302925474618
