object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
12,3155,64,0.785419968304279,0.7387246136257958,0.0989930698447145
2,3006,64,0.6776447105788423,0.7347566348511785,0.0860255775142124
25,2963,64,0.7846776915288559,0.7407781833694708,0.1062999994640639
13,2948,64,0.739145183175034,0.7316798150996551,0.09946527389697511
4,2876,64,0.7983310152990264,0.7361520138690658,0.10891918645169199
5,2803,64,0.7841598287549054,0.7380169332443245,0.10724719458734477
27,2792,64,0.7707736389684814,0.7409955842350046,0.102505718412319
6,2710,64,0.7959409594095941,0.7359712898691678,0.09730590124999142
17,2592,64,0.7689043209876543,0.741280592759455,0.09788541396995193
26,2545,64,0.7925343811394892,0.7378740537306,0.10045719870809779
21,2544,64,0.6729559748427673,0.729812968801686,0.08234519230731076
11,2334,64,0.7613538988860326,0.7363382378485321,0.09066141632032884
23,2195,64,0.7772209567198177,0.7385123594537412,0.09323327256330433
9,2175,64,0.7337931034482759,0.7440188903474021,0.09918644010811142
31,2047,64,0.6946751343429409,0.7341689262634916,0.08948036619145476
30,2039,64,0.7582148111819519,0.7334921008446474,0.09524454794727183
1,1841,64,0.7175448126018468,0.7216098824860794,0.09983409753469519
24,1710,64,0.7333333333333333,0.7314838235166516,0.10620155620811593
29,1617,64,0.7081014223871367,0.7295042730987464,0.09666637015879978
3,1601,64,0.6939412866958151,0.7271573984730685,0.10704474908482321
7,1364,64,0.6480938416422287,0.7376660535007415,0.11824941413331193
8,1333,64,0.6526631657914479,0.7353064672467333,0.12850418895186297
10,1296,64,0.5455246913580247,0.7236025766111516,0.09345163383527687
18,1280,64,0.62265625,0.7369604744772245,0.1199784819228499
19,1214,64,0.6202635914332785,0.7313016299470508,0.12075594643041009
16,1107,64,0.5745257452574526,0.7358943139787568,0.13507397771948476
28,1077,64,0.6453110492107706,0.7272841046504048,0.1287796282929564
14,1011,64,0.5301681503461919,0.7327571071129014,0.10290938046983514
22,917,64,0.4841875681570338,0.7433593750147327,0.11403067025994457
15,913,64,0.5049288061336255,0.7273584901293313,0.12568156872738814
20,838,64,0.5346062052505967,0.7272559893915991,0.1281060297296941
0,805,64,0.5701863354037268,0.7336475460730382,0.13557071637724158
