object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
12,2671,64,1.0,0.7377146972640158,0.09052661164403139
13,2657,64,1.0,0.7284402783802613,0.09756726152197197
25,2561,64,1.0,0.7366011950706985,0.09171352053870065
4,2428,64,1.0,0.7344686053900944,0.09415321913707439
5,2318,64,1.0,0.7324093482587407,0.0881204725789621
26,2310,64,1.0,0.7367984480397175,0.0945883268841461
27,2221,64,1.0,0.734522591228733,0.08994413606624727
6,2214,64,1.0,0.7310932730428915,0.09227208830438124
2,2065,64,1.0,0.7312822901813961,0.08649978059715346
17,1890,64,1.0,0.7400009074553869,0.09601845284850935
21,1858,64,1.0,0.7296455881161865,0.09104106885351435
11,1729,64,1.0,0.7370069090370487,0.08023107003127591
23,1727,64,1.0,0.7360253130898436,0.08548767902622799
30,1546,64,1.0,0.7264508292574404,0.08356032404026212
9,1494,64,1.0,0.7407282049829798,0.0965931721402443
31,1374,64,1.0,0.7277096327117047,0.07889818655257051
1,1357,64,1.0,0.7201527693752214,0.10167947524325556
3,1106,64,1.0,0.7161161574368615,0.08880198181990065
24,1093,64,1.0,0.7330042909547063,0.09531829607059164
29,1072,64,1.0,0.726213733487557,0.09553900893417024
8,815,64,1.0,0.7265169097807539,0.1222086621053554
7,729,64,1.0,0.736824116897482,0.1144000680603817
19,673,64,1.0,0.7257205939773704,0.11802026479917063
18,654,64,1.0,0.7315223504384626,0.129722411099862
10,641,64,1.0,0.7241836376357664,0.11941546373959368
28,600,64,1.0,0.7293060573656395,0.12083713407421547
16,509,64,1.0,0.7299304860424572,0.16115163343251745
14,456,63,1.0,0.7312440252588773,0.13466288718233413
20,405,63,1.0,0.7289906882460659,0.14133749715346727
15,398,63,1.0,0.7270886718922203,0.1325910996751929
0,355,64,1.0,0.7404056328203354,0.1734253728975151
22,344,64,1.0,0.7419765376585944,0.1599757441773816
