object_id,count,num_variants,correct_frac,obj_rel_base_x_mean,obj_rel_base_y_mean
14,1580,64,1.0,0.7358313895327089,0.07821829324803245
20,1575,64,1.0,0.7367489208328025,0.07834424357968527
10,1517,64,1.0,0.7448611850157575,0.08331613229446828
22,1487,64,1.0,0.7380197017566421,0.08127000709873111
15,1482,64,1.0,0.7337430196011008,0.0797795027452491
19,1376,64,1.0,0.7340019549247133,0.07466797324536031
3,1250,64,1.0,0.7395387397095727,0.08692728939747976
1,1241,64,1.0,0.740811588350872,0.0944029187012201
28,1219,64,1.0,0.7393912882185056,0.0680567432693286
0,1182,64,1.0,0.7386524150911211,0.06336020775173364
16,1156,64,1.0,0.7388879661424721,0.07426092569398235
29,1136,64,1.0,0.7410642050311763,0.093328085371342
18,1096,64,1.0,0.7328337316829047,0.07404867279892775
8,1048,64,1.0,0.7343798018740677,0.07217075208070764
7,1044,64,1.0,0.7359136641338275,0.05741313683596742
21,1025,64,1.0,0.7525500761884245,0.11160334043180209
30,998,64,1.0,0.751519641929381,0.09036010340651525
24,930,64,1.0,0.7370119460901473,0.07872118809333861
9,750,64,1.0,0.7168871183548634,0.08635865086907374
11,711,64,1.0,0.7443492016725137,0.10423993873187216
31,710,64,1.0,0.736219553478347,0.10677310453264206
23,706,64,1.0,0.7392070134268048,0.09791715458077928
13,627,64,1.0,0.744323074434195,0.09797826767919787
2,601,64,1.0,0.7326168883211901,0.08680343716826179
6,480,64,1.0,0.7194916481240938,0.07290831464162721
27,463,64,1.0,0.723532313378089,0.0808197148747573
26,435,64,1.0,0.7327938563601206,0.08952008840021698
5,414,64,1.0,0.7190724829768336,0.07930184696885696
17,361,64,1.0,0.717181394208986,0.05574501068545786
25,319,64,1.0,0.7316131850036254,0.06994514392395523
4,311,64,1.0,0.7188412210086124,0.05619177434587295
12,232,64,1.0,0.7182924769164363,0.025529983836873996
