category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,eff_median,eff_mad,robust_z_attempt_steps_per_stored,object_name
afar,0,0,77,124,122,2,49116,48322,794,599,4,7,0.7030526399612427,0.5478236079216003,1.0880918502807615,0.050000000745058,0.4221998155117035,32,0,True,0.9838709677419356,0.6209677419354839,396.0967741935484,396.0819672131148,397.0,637.8701298701299,402.59016393442624,1.567717240817656,2.483915628308494,4,23,14,19.25,4,1054.0032377428306,248.72454921824044,-1.1284844304365618,atomizer_0
afar,0,1,39,116,109,4,48702,48233,469,587,4,31,0.5117243528366089,0.6993427276611328,0.9032682180404664,0.050000000745058,0.757331132888794,32,0,True,0.9396551724137931,0.3362068965517241,419.8448275862069,442.5045871559633,117.25,1248.7692307692307,446.8073394495413,0.8007884686460515,2.238101104677426,3,19,0,9.75,4,1054.0032377428306,248.72454921824044,0.5281732853038085,cider_0
afar,0,2,47,117,112,1,48951,48052,899,587,4,25,0.5612276792526245,0.697519063949585,0.698340892791748,0.050000000745058,0.2660558223724365,32,0,True,0.9572649572649572,0.4017094017094017,418.38461538461536,429.0357142857143,899.0,1041.5106382978724,437.0625,0.9601438172866744,2.288002288002288,4,22,2,11.75,4,1054.0032377428306,248.72454921824044,-0.0338778715334237,canister_2
afar,0,3,42,119,99,16,48955,42436,6519,599,4,2,0.6938737630844116,0.6499868631362915,0.992746889591217,0.050000000745058,0.7767549157142639,32,0,True,0.8319327731092437,0.3529411764705882,411.3865546218488,428.6464646464647,407.4375,1165.595238095238,494.4949494949495,0.857930752732101,2.0222653457256663,4,19,6,10.5,4,1054.0032377428306,248.72454921824044,0.3026191201241462,Dixie_cup_3
afar,0,4,24,103,100,0,48545,47298,1247,599,4,24,0.4117126166820526,0.5067141056060791,0.7989126443862915,0.050000000745058,0.5834188461303711,32,8,False,0.970873786407767,0.233009708737864,471.31067961165047,472.98,,2022.7083333333333,485.45,0.4943866515604078,2.0599443815017,3,16,0,6.0,4,1054.0032377428306,248.72454921824044,2.626968624647032,canister_1
afar,0,5,44,110,106,1,48424,47279,1145,599,4,29,0.7199434638023376,0.6690632700920105,0.7295529842376709,0.050000000745058,0.2454921305179596,32,0,True,0.9636363636363636,0.4,440.2181818181818,446.02830188679246,1145.0,1100.5454545454545,456.8301886792453,0.9086403436312572,2.188997191475301,3,23,0,11.0,4,1054.0032377428306,248.72454921824044,0.1262148241178422,chicken_(animal)_2
afar,0,6,52,127,111,12,49041,45543,3498,599,4,13,0.5588549375534058,0.688883900642395,1.1273868083953855,0.050000000745058,0.3697115778923034,32,0,True,0.8740157480314961,0.4094488188976378,386.1496062992126,410.2972972972973,291.5,943.0961538461538,441.8108108108109,1.0603372688158887,2.263412246895455,4,22,4,13.0,4,1054.0032377428306,248.72454921824044,-0.3007617395364947,beer_can_4
afar,0,7,39,123,111,4,48940,46899,2041,599,4,24,0.701748788356781,0.5165789127349854,1.1374433040618896,0.050000000745058,0.543077290058136,32,0,True,0.902439024390244,0.3170731707317073,397.8861788617886,422.5135135135135,510.25,1254.871794871795,440.9009009009009,0.7968941561095219,2.26808336738864,3,26,0,9.75,4,1054.0032377428306,248.72454921824044,0.5447224337498184,canister_1
afar,0,8,14,106,98,2,49315,45786,3529,599,4,21,0.627803385257721,0.523331880569458,1.1593985557556152,0.050000000745058,0.6740430593490601,32,18,False,0.9245283018867924,0.1320754716981132,465.2358490566038,467.2040816326531,1764.5,3522.5,503.2142857142857,0.2838892831795599,1.98722498225692,4,7,1,3.5,4,1054.0032377428306,248.72454921824044,6.694156533304339,candle_holder_4
afar,0,9,35,108,99,3,49533,46350,3183,599,4,24,0.5755111575126648,0.6865677833557129,1.1152279376983645,0.050000000745058,0.4376000165939331,32,0,True,0.9166666666666666,0.324074074074074,458.6388888888889,468.1818181818182,1061.0,1415.2285714285715,500.3333333333333,0.7065996406436114,1.9986675549633577,4,14,2,8.75,4,1054.0032377428306,248.72454921824044,0.9795835929216922,canister_1
afar,0,10,66,120,115,2,48696,46310,2386,599,4,7,0.6554721593856812,0.5808143615722656,0.9260730743408204,0.050000000745058,0.7037579417228699,32,0,True,0.9583333333333334,0.55,405.8,402.69565217391306,1193.0,737.8181818181819,423.4434782608696,1.3553474618038444,2.361590274355183,4,27,11,16.5,4,1054.0032377428306,248.72454921824044,-0.8574417800393603,atomizer_0
afar,0,11,54,119,117,1,49165,47967,1198,599,4,20,0.6098663806915283,0.6563345789909363,0.9172977805137634,0.050000000745058,0.6353384852409363,32,0,True,0.9831932773109244,0.453781512605042,413.1512605042017,409.97435897435895,1198.0,910.4629629629628,420.2136752136752,1.0983423166887014,2.379741686158853,4,22,2,13.5,4,1054.0032377428306,248.72454921824044,-0.3892575768790277,can_1
afar,0,12,63,133,125,7,48658,46201,2457,599,4,4,0.6730456352233887,0.5578455924987793,1.1897971630096436,0.050000000745058,0.6804952025413513,32,0,True,0.9398496240601504,0.4736842105263157,365.8496240601504,369.608,351.0,772.3492063492064,389.264,1.2947511200624768,2.568950635044597,4,27,8,15.75,4,1054.0032377428306,248.72454921824044,-0.7637993305128382,Tabasco_sauce_2
afar,0,13,38,120,117,2,49223,48472,751,556,4,26,0.5220597982406616,0.5719878673553467,0.9819066524505616,0.050000000745058,0.4721009135246277,32,0,True,0.975,0.3166666666666666,410.19166666666666,414.2905982905983,375.5,1295.342105263158,420.7094017094017,0.7719968307498527,2.376937610466652,4,28,2,9.5,4,1054.0032377428306,248.72454921824044,0.6544712480295971,canister_3
afar,0,14,42,100,95,0,48705,45710,2995,599,4,24,0.5854182243347168,0.5334208011627197,0.6944478750228882,0.050000000745058,0.4331449866294861,32,0,True,0.95,0.42,487.05,481.1578947368421,,1159.642857142857,512.6842105263158,0.8623344625808439,1.9505184272661944,4,16,1,10.5,4,1054.0032377428306,248.72454921824044,0.2864772436386927,canister_1
afar,0,15,28,115,108,0,48339,46180,2159,599,4,21,0.5819945335388184,0.6278020143508911,0.7707028985023499,0.050000000745058,0.2712421417236328,32,4,False,0.9391304347826088,0.2434782608695652,420.3391304347826,427.5925925925926,,1726.392857142857,447.5833333333333,0.5792424336457105,2.234220815490598,4,17,2,7.0,4,1054.0032377428306,248.72454921824044,1.823409871324668,candle_holder_4
afar,0,16,43,102,101,0,48266,47667,599,599,4,8,0.6289888024330139,0.6699566841125488,0.9495506286621094,0.050000000745058,0.2027705162763595,32,0,True,0.9901960784313726,0.4215686274509804,473.1960784313725,471.9504950495049,,1122.4651162790697,477.8811881188119,0.8908962830978329,2.0925703393693285,4,20,2,10.75,4,1054.0032377428306,248.72454921824044,0.1856573354654079,bandage_4
afar,0,17,48,108,103,3,49134,47447,1687,599,4,17,0.5992010235786438,0.5728612542152405,0.8211283087730408,0.050000000745058,0.3075229823589325,32,0,True,0.9537037037037036,0.4444444444444444,454.94444444444446,460.6504854368932,562.3333333333334,1023.625,477.0291262135922,0.9769202588838686,2.096308055521635,4,24,5,12.0,4,1054.0032377428306,248.72454921824044,-0.0823807759304065,bottle_0
afar,0,18,51,128,123,4,49201,47366,1835,599,4,15,0.7748333215713501,0.6703917384147644,1.1390502452850342,0.050000000745058,0.3453517556190491,32,0,True,0.9609375,0.3984375,384.3828125,385.0894308943089,458.75,964.7254901960785,400.0081300813008,1.0365642974736289,2.4999491880246336,4,19,3,12.75,4,1054.0032377428306,248.72454921824044,-0.2421065427982619,bolt_1
afar,0,19,31,104,103,0,48813,48789,24,591,4,14,0.6622380018234253,0.5893169045448303,0.9704196453094482,0.050000000745058,0.5495393872261047,32,1,False,0.9903846153846154,0.2980769230769231,469.3557692307692,473.6796116504854,,1574.6129032258063,473.9126213592233,0.6350767213652101,2.110093622600537,3,19,0,7.75,4,1054.0032377428306,248.72454921824044,1.4118076421163943,beret_2
afar,0,20,30,100,96,1,49330,46934,2396,599,4,20,0.5255187749862671,0.6657525897026062,0.8666477203369141,0.050000000745058,0.7052782773971558,32,2,False,0.96,0.3,493.3,488.8958333333333,2396.0,1644.3333333333333,513.8541666666666,0.6081491992702209,1.946077437664707,3,19,0,7.5,4,1054.0032377428306,248.72454921824044,1.6008779620962053,can_1
afar,0,21,44,104,102,0,49219,48021,1198,599,4,15,0.4792077541351318,0.5145071148872375,1.1167681217193604,0.050000000745058,0.4625148177146911,32,0,True,0.9807692307692308,0.4230769230769231,473.25961538461536,470.7941176470589,,1118.6136363636365,482.5392156862745,0.893963713200187,2.0723704260549787,4,19,7,11.0,4,1054.0032377428306,248.72454921824044,0.1752127564677779,bolt_1
afar,0,22,35,107,99,2,48707,45056,3651,599,4,25,0.5664768815040588,0.5975950956344604,0.6553056240081787,0.050000000745058,0.4344223737716675,32,0,True,0.9252336448598132,0.3271028037383177,455.2056074766355,455.1111111111111,1825.5,1391.6285714285714,491.989898989899,0.7185825446034451,2.032562054735459,3,22,0,8.75,4,1054.0032377428306,248.72454921824044,0.9155842810321656,canister_2
afar,0,23,49,99,88,1,49082,44217,4865,599,4,0,0.513731837272644,0.6057800650596619,1.0351035594940186,0.050000000745058,0.4180282950401306,32,0,True,0.8888888888888888,0.494949494949495,495.77777777777777,502.46590909090907,4865.0,1001.6734693877552,557.75,0.9983293264333156,1.7929179740026897,4,23,1,12.25,4,1054.0032377428306,248.72454921824044,-0.1419097104264043,Band_Aid_0
afar,0,24,68,108,95,5,49470,43776,5694,599,4,12,0.5359103083610535,0.6085019111633301,1.022908091545105,0.050000000745058,0.7703824639320374,32,0,True,0.8796296296296297,0.6296296296296297,458.05555555555554,460.8,1138.8,727.5,520.7368421052631,1.3745704467353952,1.9203557711744488,4,22,3,17.0,4,1054.0032377428306,248.72454921824044,-0.8854229892052358,beer_can_1
afar,0,25,57,127,120,7,48734,48467,267,552,4,11,0.6095763444900513,0.6734923720359802,0.846439003944397,0.050000000745058,0.6999205350875854,32,0,True,0.9448818897637796,0.4488188976377952,383.7322834645669,403.89166666666665,38.142857142857146,854.9824561403509,406.1166666666667,1.169614642754545,2.462346616325358,4,28,1,14.25,4,1054.0032377428306,248.72454921824044,-0.5397115709438302,beer_bottle_3
afar,0,26,84,123,121,2,48648,47610,1038,599,4,8,0.7192255258560181,0.6332253217697144,0.792133629322052,0.050000000745058,0.2396012842655182,32,0,True,0.983739837398374,0.6829268292682927,395.5121951219512,393.4710743801653,519.0,579.1428571428571,402.0495867768595,1.726689689195856,2.487255385627364,4,26,15,21.0,4,1054.0032377428306,248.72454921824044,-1.2877431187286803,bandage_4
afar,0,27,44,120,109,5,48956,44765,4191,599,4,21,0.708707332611084,0.507932722568512,0.6058072447776794,0.050000000745058,0.6690700650215149,32,0,True,0.9083333333333332,0.3666666666666666,407.9666666666666,410.6880733944954,838.2,1112.6363636363635,449.1376146788991,0.8987662390718196,2.2264890922460987,4,21,3,11.0,4,1054.0032377428306,248.72454921824044,0.1590033775897494,candle_holder_4
afar,0,28,41,95,90,4,48771,45776,2995,599,4,28,0.4044898450374603,0.612485408782959,0.9241806268692015,0.050000000745058,0.4393413662910461,32,0,True,0.9473684210526316,0.431578947368421,513.3789473684211,508.6222222222222,748.75,1189.5365853658536,541.9,0.8406635090525107,1.8453589223103888,4,14,5,10.25,4,1054.0032377428306,248.72454921824044,0.3675441095744676,chalice_4
afar,0,29,58,129,116,4,48722,46617,2105,599,4,10,0.7239841222763062,0.6149757504463196,0.8445947170257568,0.050000000745058,0.3214778900146484,32,0,True,0.8992248062015504,0.4496124031007752,377.68992248062017,401.8706896551725,526.25,840.0344827586207,420.0172413793104,1.190427322359509,2.380854644719018,4,23,1,14.5,4,1054.0032377428306,248.72454921824044,-0.5802480120698339,beer_bottle_0
afar,0,30,52,132,125,6,49947,47174,2773,599,4,14,0.6558728218078613,0.6892956495285034,0.6804870367050171,0.050000000745058,0.6180611848831177,32,0,True,0.946969696969697,0.3939393939393939,378.3863636363636,377.392,462.1666666666667,960.5192307692308,399.576,1.041103569783971,2.5026528119806994,4,25,4,13.0,4,1054.0032377428306,248.72454921824044,-0.2535132253807656,beret_2
afar,0,31,24,145,106,29,49236,40629,8607,508,4,17,0.7897111177444458,0.6397329568862915,0.976907193660736,0.050000000745058,0.669055163860321,32,8,False,0.7310344827586207,0.1655172413793103,339.5586206896552,383.2924528301887,296.7931034482759,2051.5,464.4905660377359,0.4874482086278333,2.1528962547729305,4,10,4,6.0,4,1054.0032377428306,248.72454921824044,2.70504688120717,bottle_0
afar,0,32,88,115,110,1,48979,47969,1010,599,4,9,0.7320119738578796,0.5130985379219055,1.1402060985565186,0.050000000745058,0.7901514172554016,32,0,True,0.9565217391304348,0.7652173913043478,425.90434782608696,436.08181818181816,1010.0,556.5795454545455,445.2636363636364,1.7966883766512178,2.2458604708140224,4,25,19,22.0,4,1054.0032377428306,248.72454921824044,-1.3489311027117672,bear_0
afar,0,33,40,99,85,6,49038,41794,7244,599,4,6,0.4177724719047546,0.6912004351615906,1.0399672985076904,0.050000000745058,0.5033276677131653,32,0,True,0.8585858585858586,0.404040404040404,495.3333333333333,491.6941176470588,1207.3333333333333,1225.95,576.9176470588235,0.8156939516293487,1.733349647212366,4,11,9,10.0,4,1054.0032377428306,248.72454921824044,0.4662912909360514,aerosol_can_1
afar,0,34,35,98,93,2,48812,47562,1250,599,4,31,0.409838318824768,0.621638298034668,0.8323392271995544,0.050000000745058,0.6206595301628113,32,0,True,0.9489795918367347,0.3571428571428571,498.0816326530612,511.4193548387097,625.0,1394.6285714285714,524.8602150537635,0.7170367942309268,1.90526919609932,4,19,5,8.75,4,1054.0032377428306,248.72454921824044,0.923719786780834,cider_0
