category,object_id,num_variants,complete_32_variants,mean_stored_count,missing_to_target,attempt_steps_per_stored,success_rate,stored_rate,below_32_variants,object_name
far_recovery,30,64,0,0.0,32.0,,,,64,chocolate_milk_4
far_recovery,31,64,0,0.0,32.0,,,,64,cider_0
near_recovery,0,64,0,0.0,32.0,,,,64,Band_Aid_0
near_recovery,1,64,0,0.0,32.0,,,,64,Dixie_cup_0
near_recovery,2,64,0,0.0,32.0,,,,64,Dixie_cup_3
near_recovery,3,64,0,0.0,32.0,,,,64,Dixie_cup_4
near_recovery,4,64,0,0.0,32.0,,,,64,Tabasco_sauce_2
near_recovery,5,64,0,0.0,32.0,,,,64,Tabasco_sauce_4
near_recovery,6,64,0,0.0,32.0,,,,64,aerosol_can_1
near_recovery,7,64,0,0.0,32.0,,,,64,atomizer_0
near_recovery,8,64,0,0.0,32.0,,,,64,bandage_4
near_recovery,9,64,0,0.0,32.0,,,,64,bear_0
near_recovery,10,64,0,0.0,32.0,,,,64,beer_bottle_0
near_recovery,11,64,0,0.0,32.0,,,,64,beer_bottle_3
near_recovery,12,64,0,0.0,32.0,,,,64,beer_can_1
near_recovery,13,64,0,0.0,32.0,,,,64,beer_can_4
near_recovery,14,64,0,0.0,32.0,,,,64,beret_2
near_recovery,15,64,0,0.0,32.0,,,,64,bolt_1
near_recovery,16,64,0,0.0,32.0,,,,64,boom_microphone_1
near_recovery,17,64,0,0.0,32.0,,,,64,bottle_0
near_recovery,18,64,0,0.0,32.0,,,,64,bottle_2
near_recovery,19,64,0,0.0,32.0,,,,64,bottle_3
near_recovery,20,64,0,0.0,32.0,,,,64,can_1
near_recovery,21,64,0,0.0,32.0,,,,64,candle_holder_4
near_recovery,22,64,0,0.0,32.0,,,,64,candy_cane_1
near_recovery,23,64,0,0.0,32.0,,,,64,canister_0
near_recovery,24,64,0,0.0,32.0,,,,64,canister_1
near_recovery,25,64,0,0.0,32.0,,,,64,canister_2
near_recovery,26,64,0,0.0,32.0,,,,64,canister_3
near_recovery,27,64,0,0.0,32.0,,,,64,chalice_2
near_recovery,28,64,0,0.0,32.0,,,,64,chalice_4
near_recovery,29,64,0,0.0,32.0,,,,64,chicken_(animal)_2
near_recovery,30,64,0,0.0,32.0,,,,64,chocolate_milk_4
near_recovery,31,64,0,0.0,32.0,,,,64,cider_0
