category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts,object_name
afar,0,313,11,108,106,0,48748,47550,1198,599,4,5,0.5240778923034668,0.5784991979598999,0.916940987110138,0.050000000745058,0.3922252655029297,32,21,False,0.9814814814814816,0.1018518518518518,451.3703703703704,448.5849056603773,,4431.636363636364,459.8867924528302,0.2256502830885369,2.174448182489538,3,6,0,2.75,4,Tabasco_sauce_4
afar,0,188,11,101,93,1,48576,45497,3079,599,4,27,0.5932087302207947,0.5806138515472412,1.0804269313812256,0.050000000745058,0.5276781916618347,32,21,False,0.9207920792079208,0.1089108910891089,480.9504950495049,489.2150537634408,3079.0,4416.0,522.3225806451613,0.2264492753623188,1.9145256916996047,4,6,1,2.75,4,chalice_2
afar,0,1184,12,104,93,3,48767,43572,5195,599,4,2,0.6340508460998535,0.5376307964324951,0.6369774341583252,0.050000000745058,0.5595172643661499,32,20,False,0.8942307692307693,0.1153846153846153,468.9134615384616,468.5161290322581,1731.6666666666667,4063.9166666666665,524.3763440860215,0.2460680378124551,1.9070272930465275,3,9,0,3.0,4,Dixie_cup_3
afar,0,733,12,106,104,0,48757,48136,621,599,4,4,0.4654405117034912,0.5788153409957886,1.0375887155532837,0.050000000745058,0.7684028148651123,32,20,False,0.981132075471698,0.1132075471698113,459.97169811320754,462.84615384615387,,4063.0833333333335,468.8173076923077,0.2461185060606682,2.133027052525791,3,7,0,3.0,4,Tabasco_sauce_2
afar,0,1697,13,99,82,8,48744,40967,7777,599,4,31,0.4679694473743438,0.6265236735343933,0.601905345916748,0.050000000745058,0.6886065006256104,32,19,False,0.8282828282828283,0.1313131313131313,492.3636363636364,499.5975609756098,972.125,3749.538461538461,594.439024390244,0.2666994912194321,1.6822583292302642,2,11,0,3.25,4,cider_0
afar,0,1260,13,111,110,0,48354,47755,599,599,4,4,0.6573865413665771,0.5269700288772583,0.6996942758560181,0.050000000745058,0.2475802451372146,32,19,False,0.990990990990991,0.1171171171171171,435.6216216216216,434.1363636363636,,3719.538461538461,439.58181818181816,0.2688505604500145,2.2748893576539686,3,7,0,3.25,4,Tabasco_sauce_2
afar,0,8,14,106,98,2,49315,45786,3529,599,4,21,0.627803385257721,0.523331880569458,1.1593985557556152,0.050000000745058,0.6740430593490601,32,18,False,0.9245283018867924,0.1320754716981132,465.2358490566038,467.2040816326531,1764.5,3522.5,503.2142857142857,0.2838892831795599,1.98722498225692,4,7,1,3.5,4,candle_holder_4
afar,0,730,14,107,105,0,49289,48091,1198,599,4,26,0.7882908582687378,0.6440447568893433,0.660477340221405,0.050000000745058,0.673042356967926,32,18,False,0.9813084112149532,0.1308411214953271,460.6448598130841,458.0095238095238,,3520.6428571428573,469.4190476190476,0.2840390350788208,2.1302927630911563,4,6,1,3.5,4,canister_3
afar,0,357,14,113,105,2,49243,46153,3090,599,4,25,0.6583411693572998,0.5945822596549988,0.7201746106147766,0.050000000745058,0.6022287607192993,32,18,False,0.9292035398230089,0.1238938053097345,435.7787610619469,439.5523809523809,1545.0,3517.3571428571427,468.9809523809524,0.2843043681335418,2.132282761001564,3,6,0,3.5,4,canister_2
afar,0,145,14,103,96,1,49004,45865,3139,599,4,15,0.5547129511833191,0.6760092973709106,0.6474350690841675,0.050000000745058,0.5647917985916138,32,18,False,0.9320388349514565,0.1359223300970873,475.7669902912621,477.7604166666667,3139.0,3500.285714285714,510.4583333333333,0.2856909640029385,1.959023753163007,2,10,0,3.5,4,bolt_1
afar,0,1116,14,104,104,0,48759,48759,0,576,4,9,0.4633555114269256,0.6299493908882141,0.8130795955657959,0.050000000745058,0.6542348265647888,32,18,False,1.0,0.1346153846153846,468.83653846153845,468.83653846153845,,3482.785714285714,468.83653846153845,0.2871264792140938,2.1329395598761254,3,8,0,3.5,4,bear_0
afar,0,42,14,104,101,1,48682,46885,1797,599,4,20,0.7499849796295166,0.6284818649291992,0.915029227733612,0.050000000745058,0.6701646447181702,32,18,False,0.971153846153846,0.1346153846153846,468.09615384615387,464.2079207920792,1797.0,3477.285714285714,482.0,0.2875806252824452,2.074688796680498,4,5,2,3.5,4,can_1
afar,0,520,14,93,82,1,48622,42615,6007,599,4,11,0.4022286534309387,0.5062257647514343,1.0995464324951172,0.050000000745058,0.3265413343906402,32,18,False,0.8817204301075269,0.1505376344086021,522.8172043010753,519.6951219512196,6007.0,3473.0,592.9512195121952,0.2879355024474517,1.6864793714779318,2,9,0,3.5,4,beer_bottle_3
afar,0,986,14,97,90,0,48553,44360,4193,599,4,28,0.5333540439605713,0.6258938312530518,1.0271379947662354,0.050000000745058,0.3489012122154236,32,18,False,0.9278350515463918,0.1443298969072164,500.5463917525773,492.8888888888889,,3468.0714285714284,539.4777777777778,0.2883446954874055,1.853644470990464,4,7,1,3.5,4,chalice_4
afar,0,1736,14,116,115,0,48332,48314,18,550,4,22,0.6293740272521973,0.5114487409591675,1.1375391483306885,0.050000000745058,0.7919716835021973,32,18,False,0.9913793103448276,0.1206896551724138,416.6551724137931,420.1217391304348,,3452.285714285714,420.2782608695652,0.2896631631217413,2.379375982785732,4,9,1,3.5,4,candy_cane_1
afar,0,1656,15,132,115,9,49192,44385,4807,599,4,13,0.6806146502494812,0.5429203510284424,1.1095564365386963,0.050000000745058,0.2205168306827545,32,17,False,0.8712121212121212,0.1136363636363636,372.6666666666667,385.9565217391304,534.1111111111111,3279.4666666666667,427.7565217391305,0.3049276305090259,2.3377785005691982,4,10,1,3.75,4,beer_can_4
afar,0,586,15,116,104,0,49061,45919,3142,599,4,27,0.4886913001537323,0.5778125524520874,0.7858957648277283,0.050000000745058,0.7491414546966553,32,17,False,0.896551724137931,0.1293103448275862,422.9396551724138,441.5288461538461,,3270.733333333333,471.74038461538464,0.3057418315973991,2.119810032408634,4,5,2,3.75,4,chalice_2
afar,0,812,15,133,116,11,48925,44920,4005,599,4,13,0.6747121810913086,0.5376794934272766,1.0888406038284302,0.050000000745058,0.560333251953125,32,17,False,0.8721804511278195,0.112781954887218,367.8571428571428,387.2413793103448,364.09090909090907,3261.6666666666665,421.7672413793104,0.3065917220235054,2.3709759836484414,4,7,2,3.75,4,beer_can_4
afar,0,622,15,116,112,1,48804,46408,2396,599,4,22,0.7466778755187988,0.6401126384735107,1.1037839651107788,0.050000000745058,0.4356113374233246,32,17,False,0.9655172413793104,0.1293103448275862,420.7241379310345,414.3571428571428,2396.0,3253.6,435.75,0.3073518564052127,2.2948938611589216,3,10,0,3.75,4,candy_cane_1
afar,0,60,15,98,89,9,48712,44391,4321,599,4,20,0.4707160592079162,0.588868260383606,0.6014170050621033,0.050000000745058,0.2497314214706421,32,17,False,0.9081632653061223,0.1530612244897959,497.0612244897959,498.7752808988764,480.1111111111111,3247.4666666666667,547.3258426966293,0.3079323370011496,1.8270651995401543,4,7,1,3.75,4,can_1
afar,0,1328,15,106,98,0,48651,45595,3056,599,4,28,0.5816020369529724,0.5165081024169922,1.1061900854110718,0.050000000745058,0.2608874142169952,32,17,False,0.9245283018867924,0.1415094339622641,458.97169811320754,465.2551020408163,,3243.4,496.4387755102041,0.3083184312758216,2.0143470843353684,2,13,0,3.75,4,chalice_4
afar,0,1471,15,100,97,0,48586,46789,1797,599,4,22,0.5948494076728821,0.6388261914253235,1.0470538139343262,0.050000000745058,0.2957811951637268,32,17,False,0.97,0.15,485.86,482.3608247422681,,3239.0666666666666,500.8865979381444,0.3087309101387231,1.9964598855637423,4,7,1,3.75,4,candy_cane_1
afar,0,1592,15,113,113,0,48389,48389,0,581,4,27,0.6375726461410522,0.6956691741943359,0.6871665120124817,0.050000000745058,0.5794078707695007,32,17,False,1.0,0.1327433628318584,428.2212389380531,428.2212389380531,,3225.9333333333334,428.2212389380531,0.3099878071462522,2.3352414805017667,2,11,0,3.75,4,chalice_2
afar,0,800,15,117,111,2,48216,46457,1759,599,4,20,0.6460740566253662,0.554614245891571,0.8824062347412109,0.050000000745058,0.2091396152973175,32,17,False,0.9487179487179488,0.1282051282051282,412.1025641025641,418.5315315315315,879.5,3214.4,434.3783783783784,0.3111000497760079,2.302140368342459,4,10,1,3.75,4,can_1
afar,0,1490,16,115,112,0,48737,47314,1423,599,4,23,0.6475529670715332,0.5229109525680542,0.6181280016899109,0.050000000745058,0.7706459760665894,32,16,False,0.9739130434782608,0.1391304347826087,423.8,422.44642857142856,,3046.0625,435.1517857142857,0.3282926729179063,2.298048710425344,3,9,0,4.0,4,canister_0
afar,0,1865,16,102,94,4,48510,44992,3518,599,4,29,0.6220390796661377,0.534173309803009,0.6203802824020386,0.050000000745058,0.6276504397392273,32,16,False,0.9215686274509804,0.1568627450980392,475.5882352941176,478.6382978723405,879.5,3031.875,516.063829787234,0.3298289012574726,1.937744794887652,3,8,0,4.0,4,chicken_(animal)_2
afar,0,1335,17,165,117,22,49283,40785,8498,599,4,13,0.7534548044204712,0.5701601505279541,0.6838695406913757,0.050000000745058,0.6025640368461609,32,15,False,0.7090909090909091,0.103030303030303,298.6848484848485,348.5897435897436,386.27272727272725,2899.0,421.22222222222223,0.3449465332873405,2.374043787918755,3,10,0,4.25,4,beer_can_4
afar,0,284,17,114,109,0,49245,48204,1041,590,4,10,0.5355719327926636,0.6506258249282837,0.6910825967788696,0.050000000745058,0.6544902920722961,32,15,False,0.956140350877193,0.1491228070175438,431.9736842105263,442.2385321100917,,2896.764705882353,451.7889908256881,0.3452127119504518,2.213422682505838,4,8,1,4.25,4,beer_bottle_0
afar,0,358,17,118,117,0,49165,48566,599,599,4,19,0.6966222524642944,0.5175691246986389,0.86296546459198,0.050000000745058,0.6643967032432556,32,15,False,0.9915254237288136,0.1440677966101695,416.6525423728813,415.0940170940171,,2892.058823529412,420.2136752136752,0.3457744330316282,2.379741686158853,2,14,0,4.25,4,bottle_3
afar,0,1995,17,135,106,13,48943,41285,7658,599,4,13,0.7664817571640015,0.610790491104126,0.8398910760879517,0.050000000745058,0.6716989278793335,32,15,False,0.7851851851851852,0.1259259259259259,362.5407407407407,389.4811320754717,589.0769230769231,2879.0,461.7264150943397,0.3473428273706148,2.165784688310892,4,8,1,4.25,4,beer_can_4
afar,0,663,17,94,89,1,48903,45908,2995,599,4,25,0.4164512455463409,0.6536098718643188,1.0962724685668943,0.050000000745058,0.2811291217803955,32,15,False,0.946808510638298,0.1808510638297872,520.2446808510638,515.8202247191011,2995.0,2876.6470588235293,549.4719101123595,0.3476269349528659,1.819929247694416,4,7,2,4.25,4,canister_2
afar,0,1437,17,109,106,0,48582,47141,1441,599,4,6,0.4832476377487182,0.6107610464096069,0.6685613989830017,0.050000000745058,0.2583600580692291,32,15,False,0.9724770642201837,0.1559633027522936,445.70642201834863,444.7264150943397,,2857.764705882353,458.3207547169811,0.3499238401053888,2.181878061833601,4,7,2,4.25,4,aerosol_can_1
afar,0,79,18,124,114,2,49873,46966,2907,599,4,16,0.7006703019142151,0.6307946443557739,0.6917995810508728,0.050000000745058,0.7853354215621948,32,14,False,0.9193548387096774,0.1451612903225806,402.2016129032258,411.9824561403509,1453.5,2770.722222222222,437.4824561403509,0.3609167284903655,2.2858059471056484,3,14,0,4.5,4,boom_microphone_1
afar,0,100,18,148,120,20,49325,43539,5786,567,4,12,0.7831765413284302,0.6451619863510132,0.7816890478134155,0.050000000745058,0.459712266921997,32,14,False,0.8108108108108109,0.1216216216216216,333.27702702702703,362.825,289.3,2740.277777777778,411.0416666666667,0.3649265078560568,2.432843385707045,3,8,0,4.5,4,beer_can_1
afar,0,405,18,104,93,1,49201,45684,3517,599,4,12,0.4194775819778442,0.6077768802642822,1.1643550395965576,0.050000000745058,0.7657913565635681,32,14,False,0.8942307692307693,0.173076923076923,473.08653846153845,491.2258064516129,3517.0,2733.3888888888887,529.0430107526881,0.3658462226377512,1.8902054836283813,3,11,0,4.5,4,beer_can_1
afar,0,150,18,92,88,0,48966,46570,2396,599,4,22,0.5322694778442383,0.5106205344200134,0.8388971090316772,0.050000000745058,0.3139382600784302,32,14,False,0.9565217391304348,0.1956521739130435,532.2391304347826,529.2045454545455,,2720.333333333333,556.4318181818181,0.3676020095576522,1.7971653800596332,3,7,0,4.5,4,candy_cane_1
afar,0,1377,18,117,110,0,48937,46799,2138,599,4,31,0.6197900772094727,0.6215015053749084,0.6480448842048645,0.050000000745058,0.3932937383651733,32,14,False,0.9401709401709402,0.1538461538461538,418.2649572649573,425.44545454545454,,2718.722222222222,444.8818181818182,0.3678198500112389,2.2477879722909044,3,14,0,4.5,4,cider_0
afar,0,1728,18,111,106,2,48851,46475,2376,599,4,30,0.6369169354438782,0.6179313659667969,1.124715805053711,0.050000000745058,0.7563589811325073,32,14,False,0.954954954954955,0.1621621621621621,440.0990990990991,438.4433962264151,1188.0,2713.9444444444443,460.85849056603774,0.3684673804016294,2.169863462365152,3,11,0,4.5,4,chocolate_milk_4
afar,0,1654,18,120,106,5,48847,43574,5273,599,4,2,0.7038525342941284,0.6125147938728333,0.7816033363342285,0.050000000745058,0.7979819774627686,32,14,False,0.8833333333333333,0.15,407.0583333333333,411.0754716981132,1054.6,2713.722222222222,460.8207547169811,0.3684975535856859,2.170041148893484,4,11,1,4.5,4,Dixie_cup_3
afar,0,674,18,102,101,0,48825,48226,599,599,4,8,0.5872516632080078,0.5835212469100952,1.1082946062088013,0.050000000745058,0.5414648056030273,32,14,False,0.9901960784313726,0.1764705882352941,478.6764705882353,477.48514851485146,,2712.5,483.4158415841584,0.3686635944700461,2.0686123911930365,3,9,0,4.5,4,bandage_4
afar,0,1640,18,106,104,1,48811,48353,458,596,4,6,0.5021252036094666,0.5511882901191711,1.0025135278701782,0.050000000745058,0.3480101823806762,32,14,False,0.981132075471698,0.1698113207547169,460.4811320754717,464.9326923076923,458.0,2711.722222222222,469.33653846153845,0.3687693347810944,2.130667267624101,4,13,1,4.5,4,aerosol_can_1
afar,0,1771,18,117,116,0,48807,48609,198,570,4,27,0.6852947473526001,0.6232972145080566,0.8127801418304443,0.050000000745058,0.4051139950752258,32,14,False,0.9914529914529916,0.1538461538461538,417.1538461538461,419.0431034482759,,2711.5,420.75,0.368799557440531,2.3767082590612003,4,7,2,4.5,4,chalice_2
afar,0,1644,18,102,85,2,48770,41499,7271,599,4,12,0.4976767599582672,0.5344225168228149,0.835237979888916,0.050000000745058,0.719196081161499,32,14,False,0.8333333333333334,0.1764705882352941,478.1372549019608,488.22352941176473,3635.5,2709.4444444444443,573.7647058823529,0.369079352060693,1.7428747180643838,2,17,0,4.5,4,beer_can_1
afar,0,594,18,105,78,6,48687,38878,9809,599,4,10,0.5537108182907104,0.555916965007782,0.619483232498169,0.050000000745058,0.7274754643440247,32,14,False,0.7428571428571429,0.1714285714285714,463.6857142857143,498.4358974358975,1634.8333333333333,2704.833333333333,624.1923076923077,0.3697085464292316,1.6020703678600037,2,16,0,4.5,4,beer_bottle_0
afar,0,305,18,106,102,0,48636,46822,1814,599,4,29,0.5236636996269226,0.5488556027412415,1.1355479955673218,0.050000000745058,0.6060283184051514,32,14,False,0.9622641509433962,0.1698113207547169,458.8301886792453,459.0392156862745,,2702.0,476.8235294117647,0.3700962250185048,2.097211941771527,4,8,2,4.5,4,chicken_(animal)_2
afar,0,1629,18,115,100,3,48525,43064,5461,599,4,12,0.6890473961830139,0.6952309608459473,0.8230245113372803,0.050000000745058,0.2064771056175232,32,14,False,0.8695652173913043,0.1565217391304348,421.9565217391304,430.64,1820.3333333333333,2695.833333333333,485.25,0.3709428129829984,2.0607934054611023,3,10,0,4.5,4,beer_can_1
afar,0,612,19,113,110,1,49421,47624,1797,599,4,15,0.545617938041687,0.6341231465339661,1.0392005443572998,0.050000000745058,0.2929432392120361,32,13,False,0.9734513274336284,0.168141592920354,437.353982300885,432.94545454545454,1797.0,2601.1052631578946,449.2818181818182,0.3844519536229538,2.225774468343417,4,8,2,4.75,4,bolt_1
afar,0,790,19,94,83,1,49173,42584,6589,599,4,15,0.4092602133750915,0.5442604422569275,0.925636351108551,0.050000000745058,0.4921956658363342,32,13,False,0.8829787234042553,0.202127659574468,523.1170212765958,513.0602409638554,6589.0,2588.0526315789475,592.4457831325301,0.3863909055782645,1.6879181664734713,4,11,1,4.75,4,bolt_1
afar,0,1834,19,97,85,7,49143,43587,5556,599,4,15,0.4128000140190124,0.5686949491500854,0.6567304730415344,0.050000000745058,0.6549202799797058,32,13,False,0.8762886597938144,0.1958762886597938,506.62886597938143,512.7882352941176,793.7142857142857,2586.4736842105262,578.1529411764706,0.3866267830616771,1.7296461347496084,3,12,0,4.75,4,bolt_1
afar,0,1977,19,134,126,0,49132,48066,1066,599,4,24,0.7325887680053711,0.5767289400100708,0.695621907711029,0.050000000745058,0.5982367396354675,32,13,False,0.9402985074626866,0.1417910447761194,366.6567164179105,381.4761904761905,,2585.894736842105,389.936507936508,0.3867133436456891,2.564520068387202,4,10,1,4.75,4,canister_1
afar,0,540,19,124,112,8,49117,44894,4223,599,4,10,0.7115095853805542,0.5275360941886902,0.615875780582428,0.050000000745058,0.7221272587776184,32,13,False,0.9032258064516128,0.1532258064516129,396.10483870967744,400.8392857142857,527.875,2585.1052631578946,438.5446428571428,0.3868314432884744,2.280269560437324,4,13,1,4.75,4,beer_bottle_0
afar,0,741,19,96,91,1,48996,46001,2995,599,4,4,0.4603446424007416,0.6940739154815674,0.8358169794082642,0.050000000745058,0.2616690695285797,32,13,False,0.9479166666666666,0.1979166666666666,510.375,505.5054945054945,2995.0,2578.736842105264,538.4175824175824,0.3877867581027022,1.8572944730182053,4,14,1,4.75,4,Tabasco_sauce_2
afar,0,1807,19,118,110,4,48913,45706,3207,599,4,23,0.6620593070983887,0.548922598361969,0.6753275990486145,0.050000000745058,0.6706335544586182,32,13,False,0.9322033898305084,0.1610169491525423,414.5169491525424,415.5090909090909,801.75,2574.368421052632,444.6636363636364,0.388444789728702,2.2488908879030114,2,10,0,4.75,4,canister_0
afar,0,870,19,94,81,3,48878,42216,6662,599,4,15,0.4049936234951019,0.6895971298217773,1.1232291460037231,0.050000000745058,0.6979038715362549,32,13,False,0.8617021276595744,0.202127659574468,519.9787234042553,521.1851851851852,2220.6666666666665,2572.5263157894738,603.4320987654321,0.3887229428372683,1.6571872826220386,2,10,0,4.75,4,bolt_1
afar,0,858,19,100,85,1,48667,41475,7192,599,4,12,0.4865018427371979,0.5636783242225647,1.1620190143585205,0.050000000745058,0.5532286167144775,32,13,False,0.85,0.19,486.67,487.9411764705882,7192.0,2561.4210526315787,572.5529411764705,0.3904082848747611,1.7465633797028788,4,13,1,4.75,4,beer_can_1
afar,0,1750,19,108,105,0,48643,47079,1564,599,4,16,0.5144382119178772,0.6974828243255615,1.1148486137390137,0.050000000745058,0.5440976619720459,32,13,False,0.9722222222222222,0.1759259259259259,450.39814814814815,448.37142857142857,,2560.157894736842,463.26666666666665,0.3906009086610612,2.158583968916391,4,7,3,4.75,4,boom_microphone_1
afar,0,1531,19,105,100,1,48529,45594,2935,599,4,4,0.5828915238380432,0.5269402861595154,0.7156655192375183,0.050000000745058,0.7419853806495667,32,13,False,0.9523809523809524,0.1809523809523809,462.1809523809524,455.94,2935.0,2554.157894736842,485.29,0.3915184734900781,2.060623544684621,4,7,1,4.75,4,Tabasco_sauce_2
afar,0,1869,19,103,98,1,48247,46402,1845,599,4,29,0.4763293266296386,0.521748423576355,1.102978229522705,0.050000000745058,0.4786527156829834,32,13,False,0.9514563106796116,0.1844660194174757,468.41747572815535,473.48979591836735,1845.0,2539.315789473684,492.3163265306122,0.3938068688208593,2.03121437602338,4,11,1,4.75,4,chicken_(animal)_2
afar,0,1871,19,98,95,1,48243,47606,637,599,4,27,0.4311971366405487,0.5387714505195618,0.9936760663986206,0.050000000745058,0.7431114912033081,32,13,False,0.9693877551020408,0.1938775510204081,492.2755102040816,501.1157894736842,637.0,2539.1052631578946,507.8210526315789,0.3938395207594884,1.969197603797442,4,7,1,4.75,4,chalice_2
afar,0,1099,19,104,90,1,48219,42913,5306,599,4,12,0.6030167937278748,0.6810818314552307,1.1184223890304563,0.050000000745058,0.6769395470619202,32,13,False,0.8653846153846154,0.1826923076923076,463.6442307692308,476.81111111111113,5306.0,2537.842105263158,535.7666666666667,0.3940355461540056,1.8664841659926583,4,11,1,4.75,4,beer_can_1
afar,0,1679,20,105,102,1,49491,48272,1219,599,4,20,0.5721173882484436,0.5941267013549805,0.9735183119773864,0.050000000745058,0.5189385414123535,32,12,False,0.9714285714285714,0.1904761904761904,471.3428571428572,473.2549019607843,1219.0,2474.55,485.2058823529412,0.4041138792911842,2.06098078438504,4,9,2,5.0,4,can_1
afar,0,227,20,125,101,19,49384,41929,7455,599,4,2,0.7454984188079834,0.5590750575065613,1.104790210723877,0.050000000745058,0.243057295680046,32,12,False,0.808,0.16,395.072,415.13861386138615,392.3684210526316,2469.2,488.9504950495049,0.4049894702737728,2.045196824882553,4,11,1,5.0,4,Dixie_cup_3
afar,0,350,20,119,99,15,49324,41988,7336,599,4,2,0.7222456932067871,0.5039992928504944,1.099883794784546,0.050000000745058,0.3331229090690613,32,12,False,0.8319327731092437,0.1680672268907563,414.4873949579832,424.1212121212121,489.06666666666666,2466.2,498.22222222222223,0.4054821182385856,2.007136485280999,3,14,0,5.0,4,Dixie_cup_3
afar,0,658,20,112,112,0,49031,49031,0,555,4,16,0.5836643576622009,0.606764018535614,0.7521069049835205,0.050000000745058,0.5195504426956177,32,12,False,1.0,0.1785714285714285,437.7767857142857,437.7767857142857,,2451.55,437.7767857142857,0.4079052028308621,2.284269135852828,4,8,3,5.0,4,boom_microphone_1
afar,0,607,20,157,94,46,49013,33097,15916,599,4,13,0.7875665426254272,0.5890957713127136,0.7783135175704956,0.050000000745058,0.733278751373291,32,12,False,0.5987261146496815,0.1273885350318471,312.1847133757961,352.09574468085106,346.0,2450.65,521.4148936170212,0.4080550058147838,1.917858527329484,4,9,1,5.0,4,beer_can_4
afar,0,1956,20,100,90,2,48861,43388,5473,599,4,30,0.5411759614944458,0.5055391788482666,0.6314301490783691,0.050000000745058,0.4101224541664123,32,12,False,0.9,0.2,488.61,482.0888888888889,2736.5,2443.05,542.9,0.409324410061194,1.841959845275373,3,13,0,5.0,4,chocolate_milk_4
afar,0,644,20,111,97,1,48853,40607,8246,599,4,26,0.7274125218391418,0.5441778302192688,0.8064974546432495,0.050000000745058,0.4439825117588043,32,12,False,0.8738738738738738,0.1801801801801801,440.1171171171171,418.62886597938143,8246.0,2442.65,503.639175257732,0.4093914396249974,1.9855484821812377,3,13,0,5.0,4,canister_3
afar,0,557,20,106,102,0,48686,46290,2396,599,4,7,0.5143089294433594,0.5694399476051331,0.8158110976219177,0.050000000745058,0.3494843244552612,32,12,False,0.9622641509433962,0.1886792452830188,459.3018867924528,453.8235294117647,,2434.3,477.3137254901961,0.4107957112927741,2.095058127593148,4,9,1,5.0,4,atomizer_0
afar,0,37,20,102,97,0,48684,45987,2697,599,4,2,0.56668621301651,0.5438715219497681,0.7366193532943726,0.050000000745058,0.2923039197921753,32,12,False,0.9509803921568628,0.196078431372549,477.2941176470589,474.0927835051546,,2434.2,501.89690721649487,0.4108125872976748,1.9924410483937227,3,10,0,5.0,4,Dixie_cup_3
afar,0,218,20,105,98,1,48540,45079,3461,599,4,30,0.5258600115776062,0.6540042161941528,0.6580140590667725,0.050000000745058,0.2236566990613937,32,12,False,0.9333333333333332,0.1904761904761904,462.2857142857143,459.98979591836735,3461.0,2427.0,495.3061224489796,0.4120313143798929,2.018953440461475,4,7,2,5.0,4,chocolate_milk_4
