category,category_id,variant_id,stored_count,attempt_count,success_count,failure_count,attempt_step_sum,success_step_sum,failure_step_sum,attempt_step_max,num_copies,object_id,z_shift,table_size_x,table_size_y,table_size_z,object_mass,target_count,missing_to_target,complete_32,success_rate,stored_rate,mean_attempt_steps,mean_success_steps,mean_failure_steps,attempt_steps_per_stored,attempt_steps_per_success,stored_per_1k_attempt_steps,success_per_1k_attempt_steps,copies_with_stored,max_copy_stored,min_copy_stored,mean_copy_stored,copies_with_attempts
far_recovery,2,0,0,0,0,0,0,0,0,0,4,7,0.7030526399612427,0.5478236079216003,1.0880918502807617,0.05000000074505806,0.4221998155117035,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,1,0,0,0,0,0,0,0,0,4,31,0.5117243528366089,0.6993427276611328,0.9032682180404663,0.05000000074505806,0.757331132888794,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,2,0,0,0,0,0,0,0,0,4,25,0.5612276792526245,0.697519063949585,0.698340892791748,0.05000000074505806,0.2660558223724365,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,3,0,0,0,0,0,0,0,0,4,2,0.6938737630844116,0.6499868631362915,0.992746889591217,0.05000000074505806,0.7767549157142639,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,4,0,0,0,0,0,0,0,0,4,24,0.4117126166820526,0.5067141056060791,0.7989126443862915,0.05000000074505806,0.5834188461303711,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,5,0,0,0,0,0,0,0,0,4,29,0.7199434638023376,0.6690632700920105,0.7295529842376709,0.05000000074505806,0.2454921305179596,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,6,0,0,0,0,0,0,0,0,4,13,0.5588549375534058,0.688883900642395,1.1273868083953857,0.05000000074505806,0.36971157789230347,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,7,0,0,0,0,0,0,0,0,4,24,0.701748788356781,0.5165789127349854,1.1374433040618896,0.05000000074505806,0.543077290058136,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,8,0,0,0,0,0,0,0,0,4,21,0.627803385257721,0.523331880569458,1.1593985557556152,0.05000000074505806,0.6740430593490601,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,9,0,0,0,0,0,0,0,0,4,24,0.5755111575126648,0.6865677833557129,1.1152279376983643,0.05000000074505806,0.4376000165939331,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,10,0,0,0,0,0,0,0,0,4,7,0.6554721593856812,0.5808143615722656,0.9260730743408203,0.05000000074505806,0.7037579417228699,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,11,0,0,0,0,0,0,0,0,4,20,0.6098663806915283,0.6563345789909363,0.9172977805137634,0.05000000074505806,0.6353384852409363,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,12,0,0,0,0,0,0,0,0,4,4,0.6730456352233887,0.5578455924987793,1.1897971630096436,0.05000000074505806,0.6804952025413513,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,13,0,0,0,0,0,0,0,0,4,26,0.5220597982406616,0.5719878673553467,0.9819066524505615,0.05000000074505806,0.4721009135246277,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,14,0,0,0,0,0,0,0,0,4,24,0.5854182243347168,0.5334208011627197,0.6944478750228882,0.05000000074505806,0.4331449866294861,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,15,0,0,0,0,0,0,0,0,4,21,0.5819945335388184,0.6278020143508911,0.7707028985023499,0.05000000074505806,0.2712421417236328,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,16,0,0,0,0,0,0,0,0,4,8,0.6289888024330139,0.6699566841125488,0.9495506286621094,0.05000000074505806,0.20277051627635956,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
far_recovery,2,17,0,0,0,0,0,0,0,0,4,17,0.5992010235786438,0.5728612542152405,0.8211283087730408,0.05000000074505806,0.3075229823589325,32,32,False,,,,,,inf,inf,0.0,0.0,0,0,0,0.0,0
